foodId,brandName,productName,petType,imageUrl,purchaseUrl
34,퓨리나 프로플랜(Purina Pro Plan),어덜트 스몰앤미니 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%ED%94%84%EB%A1%9C%ED%94%8C%EB%9E%9C%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%8A%A4%EB%AA%B0%EC%95%A4%EB%AF%B8%EB%8B%88%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
35,퓨리나 프로플랜(Purina Pro Plan),시니어 7+ 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%ED%94%84%EB%A1%9C%ED%94%8C%EB%9E%9C%20%EC%8B%9C%EB%8B%88%EC%96%B4%207%2B%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
36,퓨리나 프로플랜(Purina Pro Plan),스포트 어덜트 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%ED%94%84%EB%A1%9C%ED%94%8C%EB%9E%9C%20%EC%8A%A4%ED%8F%AC%ED%8A%B8%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
37,퓨리나 프로플랜(Purina Pro Plan),퍼피 라지브리드 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%ED%94%84%EB%A1%9C%ED%94%8C%EB%9E%9C%20%ED%8D%BC%ED%94%BC%20%EB%9D%BC%EC%A7%80%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
38,퓨리나 프로플랜(Purina Pro Plan),어덜트 라지브리드 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%ED%94%84%EB%A1%9C%ED%94%8C%EB%9E%9C%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EB%9D%BC%EC%A7%80%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
39,퓨리나 원(Purina ONE),어덜트 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%EC%9B%90%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
40,퓨리나 원(Purina ONE),어덜트 살몬앤감자 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%EC%9B%90%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%82%B4%EB%AA%AC%EC%95%A4%EA%B0%90%EC%9E%90%20%EA%B1%B4%EC%82%AC%EB%A3%8C
41,퓨리나 원(Purina ONE),어덜트 스몰독 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%EC%9B%90%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EC%8A%A4%EB%AA%B0%EB%8F%85%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
42,퓨리나 원(Purina ONE),시니어 7+ 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%EC%9B%90%20%EC%8B%9C%EB%8B%88%EC%96%B4%207%2B%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
43,퓨리나 원(Purina ONE),퍼피 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%EC%9B%90%20%ED%8D%BC%ED%94%BC%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
44,퓨리나 원(Purina ONE),어덜트 라지브리드 치킨앤라이스 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%ED%93%A8%EB%A6%AC%EB%82%98%20%EC%9B%90%20%EC%96%B4%EB%8D%9C%ED%8A%B8%20%EB%9D%BC%EC%A7%80%EB%B8%8C%EB%A6%AC%EB%93%9C%20%EC%B9%98%ED%82%A8%EC%95%A4%EB%9D%BC%EC%9D%B4%EC%8A%A4%20%EA%B1%B4%EC%82%AC%EB%A3%8C
45,오리젠(ORIJEN),오리지날 독 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%EC%98%A4%EB%A6%AC%EC%A7%80%EB%82%A0%20%EB%8F%85%20%EA%B1%B4%EC%82%AC%EB%A3%8C
46,오리젠(ORIJEN),식스 피쉬 독 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%EC%8B%9D%EC%8A%A4%20%ED%94%BC%EC%89%AC%20%EB%8F%85%20%EA%B1%B4%EC%82%AC%EB%A3%8C
47,오리젠(ORIJEN),리저널 레드 독 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%EB%A6%AC%EC%A0%80%EB%84%90%20%EB%A0%88%EB%93%9C%20%EB%8F%85%20%EA%B1%B4%EC%82%AC%EB%A3%8C
48,오리젠(ORIJEN),트로피칼 레드 독 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%ED%8A%B8%EB%A1%9C%ED%94%BC%EC%B9%BC%20%EB%A0%88%EB%93%9C%20%EB%8F%85%20%EA%B1%B4%EC%82%AC%EB%A3%8C
49,오리젠(ORIJEN),피트 독 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%ED%94%BC%ED%8A%B8%20%EB%8F%85%20%EA%B1%B4%EC%82%AC%EB%A3%8C
50,오리젠(ORIJEN),레어&원 런보레인디어 독 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%EB%A0%88%EC%96%B4%26%EC%9B%90%20%EB%9F%B0%EB%B3%B4%EB%A0%88%EC%9D%B8%EB%94%94%EC%96%B4%20%EB%8F%85%20%EA%B1%B4%EC%82%AC%EB%A3%8C
51,오리젠(ORIJEN),퍼피 라지 독 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%A6%AC%EC%A0%A0%20%ED%8D%BC%ED%94%BC%20%EB%9D%BC%EC%A7%80%20%EB%8F%85%20%EA%B1%B4%EC%82%AC%EB%A3%8C
52,아카나(ACANA),퍼시픽 필즈 독 건사료,DOG,,https://search.shopping.naver.com/search/all?query=%EC%95%84%EC%B9%B4%EB%82%98%20%ED%8D%BC%EC%8B%9C%ED%94%BD%20%ED%95%84%EC%A6%88%20%EB%8F%85%20%EA%B1%B4%EC%82%AC%EB%A3%8C
